1.36.189.217,5
103.109.234.41,2
103.149.182.105,3
103.149.182.191,7
103.149.182.79,7
103.149.182.86,7
103.149.183.154,7
103.149.183.191,3
103.160.100.86,7
103.173.155.212,1
103.186.154.13,16
103.186.154.140,3
103.186.154.146,7
103.186.154.155,7
103.186.154.16,7
103.186.154.165,7
103.186.154.168,7
103.186.154.169,7
103.186.154.179,7
103.186.154.182,16
103.186.154.187,7
103.186.154.193,7
103.186.154.195,7
103.186.154.20,7
103.186.154.203,7
103.186.154.207,3
103.186.154.210,7
103.186.154.211,3
103.186.154.215,16
103.186.154.220,7
103.186.154.223,16
103.186.154.231,7
103.186.154.233,7
103.186.154.243,16
103.186.154.254,7
103.186.154.28,7
103.186.154.46,7
103.186.154.51,7
103.186.154.58,16
103.186.154.61,16
103.186.154.62,3
103.186.154.75,7
103.186.154.78,7
103.186.154.80,7
103.186.155.101,16
103.186.155.104,3
103.186.155.109,7
103.186.155.122,7
103.186.155.137,3
103.186.155.144,7
103.186.155.145,18
103.186.155.2,3
103.186.155.207,7
103.186.155.211,3
103.186.155.22,3
103.186.155.222,7
103.186.155.23,9
103.186.155.230,3
103.186.155.41,16
103.186.155.59,7
103.186.155.66,7
103.253.74.94,24
103.35.189.136,26
103.90.75.252,7
104.16.31.105,10
104.16.65.1,7
104.165.244.204,1
104.168.87.155,7
104.17.162.3,7
104.17.167.134,23
104.17.202.10,23
104.17.53.155,7
104.17.69.244,3
104.19.173.145,10
104.19.220.22,26
104.19.49.192,26
104.19.55.205,10
104.244.79.140,7
104.248.203.234,21
104.26.1.110,23
107.174.82.102.sslip.io,26
107.175.6.29,1
108.162.198.185,26
109.120.186.9,1
109.248.203.71,19
111.47.247.196,7
112.118.116.8,8
113.192.61.19,26
116.80.44.144,10
117.50.80.157,7
121.169.46.116,16
128.241.251.81,7
13.114.27.223,3
13.115.1.198,1
13.231.130.241,1
13.39.126.133,2
130.193.35.232,9
134.209.25.162,6
134.209.31.137,1
135.148.82.248,25
138.124.14.37,1
138.124.70.206,4
140.245.68.133,26
141.98.169.101,20
144.126.230.207,26
144.217.164.29,18
144.24.101.176,26
145.239.29.74,18
145.239.29.93,12
14ff4864-t4x400-tcjtj6-d70y.la.shifen.uk,26
15.157.66.237,16
15.204.97.146,22
15.204.97.148,22
15.204.97.149,22
15.204.97.155,25
15.204.97.159,22
15.204.97.160,19
15.204.97.164,22
15.204.97.167,25
15.204.97.168,21
15.204.97.169,21
15.204.97.172,21
15.204.97.175,22
15.204.97.176,22
15.204.97.177,1
15.204.97.197,21
15.204.97.198,22
15.204.97.214,20
15.204.97.226,25
15.236.107.136,4
15.236.125.108,12
15.237.171.88,4
15.237.246.157,16
151.242.251.131,16
152.53.228.15,4
153.121.39.240,30
153.121.67.215,3
154.211.8.58,7
154.29.157.189,7
154.29.157.225,7
154.38.116.8,4
157.173.127.227,26
157.180.120.194,14
158.160.191.241,8
158.160.197.118,25
158.160.201.80,21
158.180.77.90,26
160.16.107.37,14
160.16.116.227,14
160.16.131.243,1
160.16.136.130,1
160.16.151.196,3
160.16.196.59,1
160.16.204.136,7
160.16.236.32,3
160.16.242.183,15
160.16.57.238,7
160.16.63.16,30
160.16.81.84,6
160.16.87.174,1
161.35.199.38,2
162.159.254.137,7
162.159.4.135,26
167.17.185.172,6
167.17.185.228,13
167.17.70.117,1
167.172.239.171,21
167.234.255.2,26
172.238.229.254,25
172.64.229.205,23
172.64.49.11,10
172.64.53.226,26
172.67.134.185,23
172.67.180.227,10
172.67.79.235,7
174.136.231.115,1
176.97.219.103,7
178.154.205.131,26
178.239.124.30,11
18.177.141.4,7
18.185.153.96,16
180.149.44.70,25
185.113.10.193,1
185.130.114.219,11
185.130.114.253,4
185.177.238.40,10
185.177.238.57,3
185.177.238.99,1
185.181.10.175,3
185.181.10.186,25
185.198.58.185,1
185.213.23.63,26
185.218.3.9,18
185.227.108.44,14
185.235.241.117,26
185.235.241.122,5
185.235.241.127,1
185.235.241.129,1
185.235.241.132,18
185.235.241.40,14
185.235.241.53,26
185.235.241.97,1
185.241.41.128,1
185.36.192.228,3
185.39.204.27,1
185.99.96.64,5
190.93.246.191,10
192.227.153.124,7
193.123.76.141,25
193.135.174.135,19
193.142.59.41,26
193.203.203.66,26
193.29.139.202,10
193.29.139.204,25
193.29.14.197,1
194.113.73.136,7
194.246.114.101,10
